id,name,party,sector,country
lk,Lars Klingbeil,SPD,Politik,Deutschland
ul,Ursula von der Leyen,CDU,Politik,Deutschland
nr,Norbert Röttgen,CDU,Politik,Deutschland
sw,Sarah Wagenknecht,Linke,Politik,Deutschland
cs,Constanze Stelzenmüller,Keine,Rechtswesen,Deutschland
cl,Christian Lindner,FDP,Politik,Deutschland
kl,Karl Schlögel,Keine,Geschichtswissenschaft,Deutschland
lm,Ljudmyla Melnyk,Keine,Politikwissenschaft,Ukraine
kd,Kristina Dunz,Keine,Journalismus,Deutschland
el,Egils Levits,Keine,Politik,Lettland
ab,Annalena Baerbock,Grüne,Politik,Deutschland
ft,Frans Timmermans,Keine,Politik,Niederlande
am,Andrij Melnyk,Keine,Diplomatie,Ukraine
agl,Alexander Graf Lambsdorfff,FDP,Politik ,Deutschland
er,Egon Ramms,Keine,Militär,Deutschland
rh,Robert Habeck,Grüne,Politik,Deutschland
cm,Claudia Major,Keine,Politikwissenschaft,Deutschland
kp,Katja Petrowskaja,Keine,Journalismus,Ukraine
rk,Roderich Kiesewetter,CDU,Politik,Deutschland
